rsrp,main_path_delay,strongest_angle
-71.1527,19.1355,43.8868
-64.3841,19.3621,30.0265
-67.3415,18.6633,42.8304
-69.0729,21.1615,56.6356
-64.7469,20.5525,37.6168
-78.1173,21.2317,58.1108
-69.6667,19.4684,50.3178
-81.6284,18.4386,49.9036
-63.0128,18.7969,48.7660
-68.0143,23.9116,33.8678
-65.4540,12.4274,18.8005
-74.8551,15.4209,53.7601
-64.6859,13.9046,53.4736
-78.0176,19.5688,42.0610
-69.0846,24.0932,51.3841
-67.2009,23.2497,49.7849
-75.0159,16.4131,40.3003
-66.0054,18.7494,68.3575
-76.5543,14.5056,52.6847
-58.6252,22.5285,53.3582
-58.5892,19.5299,30.7704
-74.2566,24.7645,30.5632
-69.7317,21.2662,41.8441
-64.2109,22.9039,68.2141
-65.0403,16.9530,39.3820
-76.6526,24.7614,39.3317
-70.5621,23.7465,37.7654
-72.3493,10.7936,34.1752
-74.5419,22.0788,56.9349
-70.1477,21.3068,46.6797
-61.3221,24.4668,47.7369
-78.0876,24.5169,48.8105
-60.1845,19.8505,64.5310
-72.8710,27.9653,46.1512
-74.1302,14.3578,43.4897
-58.6134,24.0819,51.8888
-89.0070,23.5548,50.5585
-74.3994,16.8631,44.9769
-56.2010,14.7245,40.7219
-59.1057,17.7692,41.3575
-69.2178,13.7936,47.1995
-79.6769,24.4260,45.0318
-51.7325,21.4042,58.6569
-80.4261,19.3893,48.2315
-56.0342,11.5954,54.9062
-65.2692,27.6677,52.1239
-69.5834,17.3918,32.5182
-68.4366,19.0415,65.2027
-74.8882,21.6020,29.3100
-73.1637,21.3057,53.2396
-58.4152,19.7793,33.8276
-66.3372,22.5849,49.9166
-75.6023,25.6669,45.8790
-64.4014,26.3704,51.0927
-67.7079,30.7640,47.4370
-72.3677,20.5598,59.8277
-69.0503,22.5969,56.9573
-74.1029,11.3672,47.9942
-68.1621,16.9599,53.7109
-65.1395,15.0250,50.1822
-71.5688,12.5849,49.5295
-70.3617,16.2736,50.2295
-66.0953,17.1123,49.0035
-61.8795,16.4367,48.8089
-69.9780,31.3301,26.3770
-64.4377,18.4688,43.9980
-54.7873,19.9571,67.4094
-73.5372,21.7526,40.0915
-75.5255,20.3124,42.1743
-68.3801,9.4749,65.0247
-71.3360,28.7145,34.9289
-67.6597,35.8247,36.3027
-81.9624,17.2675,49.7249
-64.4533,26.4518,42.4299
-82.8180,17.8249,57.4022
-66.2747,10.2153,44.6495
-58.8147,30.6327,50.6169
-67.5256,13.7990,36.5676
-69.6247,22.5160,50.8018
-73.8257,14.2403,37.2222
-79.2558,23.2170,21.8772
-72.6662,22.2494,60.2201
-69.4296,25.0064,41.0100
-75.9552,16.6280,60.2734
-62.0462,22.4370,78.3027
-70.2587,23.1017,48.0759
-71.7751,31.5809,60.0660
-81.1958,18.0008,49.2834
-63.7345,13.2578,22.4444
-85.2509,19.6444,43.9680
-67.2382,16.1516,32.7576
-86.1844,21.6459,48.7005
-62.0561,23.9540,43.0928
-59.2059,19.3182,38.3916
-74.1646,17.0759,23.3426
-68.7494,21.2494,41.3773
-75.7107,21.8590,62.1687
-69.6940,17.4618,39.0855
-70.5581,13.6762,43.7474
-69.5105,29.2234,54.4347
-61.7278,16.4353,51.6992
-79.1151,21.5598,49.1874
-76.1313,29.9969,50.6737
-85.2218,22.7643,40.9259
-69.9890,22.3288,48.9053
-86.3132,14.2084,52.7262
-59.5904,29.5158,63.0317
-86.4443,23.8474,25.8371
-57.0912,21.2667,33.5883
-53.9208,23.2199,26.0885
-67.6523,16.3443,46.1130
-73.7216,26.8675,30.7671
-67.4608,29.0709,36.7304
-68.3148,21.0100,38.1030
-64.8169,20.4853,35.5623
-55.9039,23.9581,43.3289
-75.0934,16.0782,57.3094
-71.1718,22.2972,43.1554
-65.0687,19.4201,52.6385
-71.4657,24.1479,51.7238
-70.9329,15.7011,35.5988
-75.9259,15.0776,53.6580
-70.3728,27.8505,67.7933
-69.8062,12.2599,41.1855
-70.6028,12.5578,42.4951
-67.7044,17.7029,37.3157
-76.0701,28.9334,43.4035
-76.6394,18.1355,54.5434
-75.4775,22.4092,52.2788
-64.0071,26.9985,39.4952
-60.9381,16.0357,41.0346
-60.4313,24.1119,45.0210
-79.5313,22.8083,38.6963
-77.3911,16.7593,47.4649
-86.9683,21.8038,46.7391
-74.6762,25.1846,51.1144
-74.8503,16.6499,51.9515
-82.1286,18.3369,38.6895
-69.4410,21.0556,45.3679
-60.9212,21.1403,41.8501
-79.6868,23.6092,50.2815
-58.3935,16.2627,45.2642
-70.4695,19.5619,45.1039
-83.7163,24.1249,51.5321
-60.9562,31.2479,41.8103
-70.2891,20.0489,64.4219
-83.8498,22.4288,30.2917
-90.6526,9.8958,31.1823
-61.4478,15.6582,42.7254
-79.3081,23.0548,33.9804
-59.4588,15.0345,37.3517
-69.0181,20.1236,59.2469
-69.0367,13.9608,39.3966
-74.5823,23.6252,48.8379
-70.9551,24.3480,39.7150
-71.0899,20.9038,60.2818
-70.7883,18.2460,34.5416
-64.5116,17.0618,48.4369
-85.2129,25.2159,31.6806
-76.2187,25.2929,31.6553
-70.6356,20.3713,35.0144
-59.2565,27.4939,25.2838
-81.5919,24.0412,31.9698
-73.1091,20.6478,51.9185
-71.7860,20.4761,37.2327
-59.6611,17.5234,48.3973
-74.0931,20.5316,43.3184
-71.2997,14.9311,52.9641
-58.6877,21.2157,52.3234
-63.2955,24.6399,48.0336
-68.3019,24.3200,45.6883
-77.7913,20.1192,26.1158
-70.0472,22.0669,57.3598
-68.7898,24.6407,44.9946
-78.1878,12.9431,35.3027
-80.9292,23.1685,42.9239
-65.4375,20.3672,55.4405
-61.5185,16.7733,42.2568
-74.2626,11.8934,51.7522
-60.4896,19.9679,40.0681
-61.2728,8.2752,46.7748
-68.8537,17.1457,58.9157
-62.2341,18.6942,44.1330
-73.1042,17.4394,31.9180
-58.9604,25.1400,52.9817
-78.7547,30.4042,64.8017
-68.4955,15.4789,36.3357
-66.6516,15.4349,44.6579
-61.2908,12.4659,65.0573
-57.4663,13.8146,30.8636
-72.2674,14.8443,42.3628
-90.6495,18.8565,63.0286
-78.9328,18.6347,30.1039
-64.8941,18.8734,64.4073
-68.3453,18.1391,50.5027
-74.0498,13.3035,48.0195
-71.3990,20.8316,48.7546
-74.0826,22.1079,62.3770
-78.8624,28.6871,42.5720
-76.1330,32.1361,46.5502
-59.0368,24.0880,28.1941
-69.0334,17.3734,31.5821
-84.1737,20.5115,50.9025
-66.8747,18.4709,37.0148
-77.8949,17.2242,34.6694
-71.6262,19.8856,36.0401
-71.8564,16.1984,44.9553
-65.9433,20.8906,49.7215
-83.2161,18.1065,47.7674
-64.8707,12.0100,46.5918
-60.3486,19.1069,44.0524
-66.3963,21.2356,51.7464
-69.4207,20.7625,37.1756
-71.3635,26.2656,42.9583
-71.3485,17.5425,52.8719
-76.8374,24.5525,35.6303
-78.4622,21.0297,46.3018
-67.6195,25.3127,40.8750
-66.4561,15.4509,57.5917
-64.9403,22.6826,46.8788
-76.2848,18.3631,50.0178
-70.1535,20.6187,31.4018
-68.5512,16.5404,34.1666
-71.2375,10.7175,51.9857
-63.1839,19.7328,35.0622
-77.5630,19.2444,20.7627
-68.5562,23.3222,41.8811
-73.9552,20.9098,48.5064
-61.2468,20.0920,38.1024
-73.6901,20.9097,60.5620
-72.5622,14.7374,36.2989
-86.7707,21.6490,31.3868
-79.8681,10.1199,33.8201
-65.4527,13.4432,27.5036
-68.5739,18.2941,49.3219
-64.0755,19.9575,32.0224
-70.9904,22.5013,39.1701
-81.4997,25.5131,40.8475
-73.2738,20.0798,55.3047
-67.8910,18.3339,51.8213
-52.8238,26.9389,51.7287
-78.9782,38.7603,33.0134
-72.9744,16.5006,61.2689
